system:index,UF,UF_codigo_gaul,def_anual_mm,excedente_anual_mm,indice_aridez_ia,indice_hidrico_ih,indice_umidade_im,latitude,longitude,municipio,municipio_codigo_gaul,pet_anual_mm,th_classe,th_classe_codigo,th_petr,th_pety,th_subtipo,thornthwaite_completo,.geo
0000000000000000160e_0,Alagoas,666,316.50666439533234,540.1999871730804,23.615905819977716,40.30661422376286,26.137070731776227,-9.454768365357964,-35.865237718471896,Rio Largo,6436,1340.2266540527344,B1,5,b2',A',s,B1sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000160f_0,Alagoas,666,343.70333006978035,371.7666654586792,26.045957873294807,28.17260718790867,12.545032463931788,-9.859010243211747,-35.99998501108982,Roteiro,6437,1319.6033401489258,C2,6,b2',A',s,C2sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001610_0,Alagoas,666,245.27666890621185,700.0666780471802,18.87784298230802,53.880986252198525,42.554280462813715,-9.589515657975891,-35.82032195426592,Santa Luzia Do Norte,6438,1299.2833404541016,B2,4,b2',A',s,B2sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001611_0,Alagoas,666,777.4433288574219,52.666667103767395,56.13619949138374,3.8028579336174206,-29.87886176121282,-9.364936836946011,-37.212710644651175,Santana Do Ipanema,6439,1384.92333984375,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001612_0,Alagoas,666,313.3033258765936,406.7333285808563,23.832959851959448,30.94017295666882,16.640397045493152,-9.140358015916132,-36.179648067913725,Santana Do Mundau,6440,1314.5800094604492,C2,6,b2',A',s,C2sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001613_0,Alagoas,666,755.1766741275787,63.13333284854889,52.57743234012142,4.395512533654039,-27.15094687041881,-10.128504828447605,-36.85338453100337,Sao Bras,6441,1436.3133392333984,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001614_0,Alagoas,666,345.67333313822746,362.59999430179596,26.097942039830606,27.37588563462337,11.717120410725006,-9.005610723298203,-36.0449007752958,Sao Jose Da Laje,6442,1324.523338317871,C2,6,b2',A',s,C2sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001615_0,Alagoas,666,902.2333364486694,25.633333534002304,65.09698256352488,1.8494690882028826,-37.20872044991204,-9.544599893769915,-37.482205229887036,Sao Jose Da Tapera,6443,1385.9833450317383,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001616_0,Alagoas,666,310.2566715106368,569.5666640996933,22.955732419752852,42.14194612680732,28.368506674955608,-9.275105308534059,-35.640658897442016,Sao Luis Do Quitunde,6444,1351.5433349609375,B1,5,b2',A',s,B1sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001617_0,Alagoas,666,394.9799928367138,282.9333344697952,29.46014274422612,21.102983877023526,3.426898230487854,-9.814094479005773,-36.089816539501776,Sao Miguel Dos Campos,6445,1340.726676940918,C2,6,b2',A',s,C2sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
