code_muni,name_muni,abbrev_state,camargo_completo,cm_termico,cm_termico_codigo,cm_hidrico,cm_hidrico_codigo,cm_letra_seca,def_anual_mm,excedente_anual_mm,temp_anual_c,temp_mes_mais_frio_c,preenchido_por_vizinho
2800605.0,Barra dos Coqueiros,SE,TR-MOv,TR,7.0,MO,4.0,v,511.1066710278392,297.733335852623,25.8725,23.945,False
2800670.0,Boquim,SE,TR-MOv,TR,7.0,MO,4.0,v,524.0766632407904,250.53333449363708,24.845,22.448334,False
2800704.0,Brejo Grande,SE,TR-MOv,TR,7.0,MO,4.0,v,445.8866617679596,205.0666652917862,25.30861,23.085,False
2801009.0,Campo do Brito,SE,TR-MOv,TR,7.0,MO,4.0,v,544.2599947080016,290.40000200271606,24.074862,21.595,False
2801108.0,Canhoba,SE,TR-SEv,TR,7.0,SE,3.0,v,773.9900040626526,71.5999983549118,25.446388,22.455,False
2801207.0,Canindé de São Francisco,SE,TR-SEp,TR,7.0,SE,3.0,p,942.3633365631104,25.00000014901161,24.76389,21.465,False
2801306.0,Capela,SE,TR-MOv,TR,7.0,MO,4.0,v,645.6199966222048,236.90000331401825,24.959444,22.408333,False
2801405.0,Carira,SE,TR-SEp,TR,7.0,SE,3.0,p,766.666660785675,42.033334136009216,23.20236,20.205,False
2801504.0,Carmópolis,SE,TR-MOv,TR,7.0,MO,4.0,v,500.4133374094963,411.1666668653488,25.418612,23.235,False
2801603.0,Cedro de São João,SE,TR-SEv,TR,7.0,SE,3.0,v,721.3933235406876,101.53333288431168,25.45514,22.615,False
2801702.0,Cristinápolis,SE,TR-SEv,TR,7.0,SE,3.0,v,476.3799988310784,157.76666808128357,24.325695,21.903334,False
2801900.0,Cumbe,SE,TR-SEv,TR,7.0,SE,3.0,v,714.8066700696945,112.53333348035812,24.045,21.236668,False
2802007.0,Divina Pastora,SE,TR-MOv,TR,7.0,MO,4.0,v,541.6633288264275,364.3333332538605,25.308195,23.055,False
2802106.0,Estância,SE,TR-MOv,TR,7.0,MO,4.0,v,370.1366629600525,468.2000026702881,25.366667,23.215,False
2802205.0,Feira Nova,SE,TR-SEv,TR,7.0,SE,3.0,v,728.4166696071625,66.66666686534882,24.315556,21.336666,False
2802304.0,Frei Paulo,SE,TR-SEv,TR,7.0,SE,3.0,v,713.1733293533325,72.60000014305115,23.89125,21.143333,False
2802403.0,Gararu,SE,TR-SEp,TR,7.0,SE,3.0,p,845.0799922943115,39.133332908153534,24.901667,21.856667,False
2802502.0,General Maynard,SE,TR-MOv,TR,7.0,MO,4.0,v,484.10333782434464,393.4666620492935,25.571249,23.468334,False
2802601.0,Gracho Cardoso,SE,TR-SEv,TR,7.0,SE,3.0,v,742.6266644001007,76.03333234786987,24.16125,21.173334,False
