code_muni,name_muni,abbrev_state,classe_koppen,classe_koppen_codigo,precip_anual_mm,precip_mes_mais_seco_mm,temp_anual_c,temp_mes_mais_frio_c,temp_mes_mais_quente_c,preenchido_por_vizinho
2903904.0,Bom Jesus da Lapa,BA,BSh,5.0,776.1666666666667,0.5333333333333333,25.842916666666664,23.94333333333333,28.00666666666666,False
2903953.0,Bom Jesus da Serra,BA,BSh,5.0,510.0333333333333,10.3,20.78013888888889,18.013333333333332,22.631666666666668,False
2904001.0,Boninal,BA,BSh,5.0,563.5666666666666,3.333333333333333,20.975,18.655,22.69833333333333,False
2904050.0,Bonito,BA,Aw,4.0,623.6666666666667,12.733333333333333,20.81791666666667,18.198333333333338,22.143333333333334,True
2904100.0,Boquira,BA,BSh,5.0,726.9666666666667,0.5666666666666667,25.14916666666667,23.260000000000005,27.463333333333328,False
2904209.0,Botuporã,BA,Aw,4.0,759.5,0.3,23.96847222222222,21.76333333333333,26.110000000000003,False
2904308.0,Brejões,BA,Aw,4.0,823.7000000000002,41.56666666666667,21.22138888888889,18.72333333333334,23.188333333333333,True
2904407.0,Brejolândia,BA,BSh,5.0,770.5333333333333,0.0,25.720555555555556,23.716666666666665,28.408333333333346,False
2904506.0,Brotas de Macaúbas,BA,BSh,5.0,597.3,0.0,22.61388888888889,20.48,24.645000000000003,False
2904605.0,Brumado,BA,BSh,5.0,519.0,3.2666666666666666,23.25652777777778,20.548333333333336,24.841666666666654,False
2904704.0,Buerarema,BA,Af,1.0,1454.9333333333332,103.1,23.625138888888888,21.42166666666667,25.44,False
2904753.0,Buritirama,BA,Aw,4.0,850.2666666666669,0.4,24.287222222222223,22.178333333333335,26.075,False
2904803.0,Caatiba,BA,Aw,4.0,837.4333333333333,38.4,21.649305555555557,18.77333333333333,23.65333333333333,False
2904852.0,Cabaceiras do Paraguaçu,BA,As,3.0,818.8333333333333,38.266666666666666,23.629583333333333,21.04,25.518333333333334,False
2904902.0,Cachoeira,BA,Am,2.0,1294.9,56.766666666666666,24.69416666666667,22.366666666666664,26.50166666666666,False
2905008.0,Caculé,BA,BSh,5.0,681.1333333333333,1.2333333333333334,23.004583333333333,20.295000000000005,24.800000000000004,False
2905107.0,Caém,BA,Aw,4.0,708.7,23.466666666666665,23.87833333333333,20.98,25.785000000000004,False
2905156.0,Caetanos,BA,BSh,5.0,523.4,2.9,23.35333333333334,20.711666666666662,25.12333333333334,True
2905206.0,Caetité,BA,Aw,4.0,750.8333333333333,2.7666666666666666,21.46680555555556,19.05833333333333,23.11500000000001,False
2905305.0,Cafarnaum,BA,BSh,5.0,542.3333333333333,10.366666666666667,21.725000000000005,19.048333333333336,23.15833333333333,False
2905404.0,Cairu,BA,Af,1.0,1995.1666666666663,86.6,24.72861111111111,22.803333333333335,26.36500000000001,False
2905503.0,Caldeirão Grande,BA,Aw,4.0,679.8000000000001,20.966666666666665,24.201111111111107,21.255000000000003,26.115,False
2905602.0,Camacan,BA,Af,1.0,1141.9666666666667,71.7,23.48958333333334,21.003333333333337,25.445,False
2905701.0,Camaçari,BA,Af,1.0,1666.4,61.9,25.216111111111108,23.15,26.871666666666663,False
2905800.0,Camamu,BA,Af,1.0,1890.2666666666669,107.83333333333331,23.650138888888893,21.626666666666665,25.376666666666665,False
2905909.0,Campo Alegre de Lourdes,BA,BSh,5.0,625.3000000000001,0.0,26.150277777777777,24.37666666666666,27.95833333333333,False
